1429492711 - INFO: ORIG_GL: glPixelStorei (0x7f1f93ba7200)
1429492711 - INFO: ORIG_GL: glPixelStorei (0x7f1f93ba7200)
1429492711 - INFO: ORIG_GL: glPixelStorei (0x7f1f93ba7200)
1429492711 - INFO: ORIG_GL: glPixelStorei (0x7f1f93ba7200)
1429492711 - INFO: ORIG_GL: glPixelStorei (0x7f1f93ba7200)
1429492711 - INFO: ORIG_GL: glPixelTransferi (0x7f1f93ba71c0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: not found: GL_ARB_imaging
1429492711 - INFO: not found: GL_EXT_color_table
1429492711 - INFO: not found: GL_SGI_color_table
1429492711 - INFO: not found: GL_SGI_color_matrix
1429492711 - INFO: not found: GL_ARB_imaging
1429492711 - INFO: not found: GL_ARB_imaging
1429492711 - INFO: not found: GL_EXT_convolution
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glPixelTransferf (0x7f1f93ba71a0)
1429492711 - INFO: ORIG_GL: glGetError (0x7f1f93ba7360)
1429492711 - DEBUG: RAISED STOP
1429492711 - INFO: OPERATION: 4
1429492711 - DEBUG: RAISED STOP
1429492720 - INFO: OPERATION: 22
STORE CALL: glXChooseFBConfig(0x17538e0, 0, 0x7ffe4f32ef30, 0x7ffe4f32ef24, )
1429492720 - DEBUG: RAISED STOP
1429492722 - INFO: OPERATION: 22
